DSC ID,ZoomInfo ID,SP_COMPANY_ID,Client Name,S&P Ticker,GP ID,URL,Titanium,GWS Enterprise Sector Mapping
1017,60310227,4001600,Raytheon Technologies Corporation,NYSE:RTX,GP103131,http://www.rtx.com/,Titanium,Tech/Media/Telecom
1018,32588294,4246619,Groupe Renault,ENXTPA:RNO,GP103134,https://www.renaultgroup.com/,Titanium,Industrial & Logistics
1019,395933689,4054105,Robert Half,NYSE:RHI,GP103136,https://www.roberthalf.com.hk/,Titanium,Financial & Professional Services
1020,10735018,27709646,Peugeot,,GP103142,https://www.groupe-psa.com/,Titanium,Industrial & Logistics
1021,9716038,4067766,Coty Inc,NYSE:COTY,GP103290,https://www.coty.com/,Titanium,Industrial & Logistics
1022,14467943,4107778,Fidelity National Financial Inc,NYSE:FNF,GP103325,https://fnf.com/,Titanium,Financial & Professional Services
1023,19939690,4060689,International Paper Company,NYSE:IP,GP103331,http://www.internationalpaper.com/,Titanium,Industrial & Logistics
1024,218706,4994468,Alaska Air Group Inc,NYSE:ALK,GP103505,https://www.alaskaair.com/,Titanium,Industrial & Logistics
1025,33131147,4315266,Haier Group Corporation,,GP103586,http://www.haier.com/,Titanium,Industrial & Logistics
1026,3573275,4019141,Aramark Corporation,NYSE:ARMK,GP103627,http://www.aramark.com/,Titanium,Retail & Multi-Site
1027,344197356,4911964,JBS S.A.,BOVESPA:JBSS3,GP121201,https://jbsfoodsgroup.com/,Titanium,Industrial & Logistics
1028,24022041,4175388,CNP Assurances,,GP103939,https://www.caissedesdepots.fr/en,Titanium,Financial & Professional Services
1029,40059389,4051574,United Parcel Service Inc (UPS),NYSE:UPS,GP104021,http://www.ups.com/,Titanium,Industrial & Logistics
1030,27148954,4305562,NetApp Inc,NASDAQGS:NTAP,GP104043,http://www.netapp.com/,Titanium,Tech/Media/Telecom
1031,25463366,4419522,Crown Holdings Inc,NYSE:CCK,GP104058,http://www.crowncork.com/,Titanium,Industrial & Logistics
1032,89195983,3002455,Levi Strauss & Company,NYSE:LEVI,GP104101,http://www.levistrauss.com/,Titanium,Industrial & Logistics
1033,345379013,4008568,The Andersons Inc,NASDAQGS:ANDE,GP108783,http://andersonsinc.com/,Titanium,Industrial & Logistics
1034,454440469,4090721,China Life Insurance,SEHK:2628,GP104116,https://www.chinalife.com.hk/,Titanium,Financial & Professional Services
1035,47467711,4002502,Itochu Corporation,TSE:8001,GP104259,http://www.itochu.co.jp/,Titanium,Industrial & Logistics
1036,59557658,4112861,George Weston Ltd,TSX:WN,GP104263,http://www.weston.ca/,Titanium,Retail & Multi-Site
1037,1478574,4226924,Advance Auto Parts Inc,NYSE:AAP,GP104323,https://shop.advanceautoparts.com/,Titanium,Retail & Multi-Site
1038,346892760,4469467,International Consolidated Airlines Group SA,LSE:IAG,GP104337,http://www.iairgroup.com/,Titanium,Industrial & Logistics
1039,52612864,103362,Lincoln National Corporation,NYSE:LNC,GP104447,https://www.lincolnfinancial.com/,Titanium,Financial & Professional Services
1040,462325414,5983698,Metro AG,XTRA:B4B,GP104505,http://www.metroag.de/,Titanium,Retail & Multi-Site
1041,24133674,4556630,Mazda Motor Corporation,TSE:7261,GP104514,https://www.mazda.com/,Titanium,Industrial & Logistics
1042,9882062,103336,WR Berkley Corporation,NYSE:WRB,GP104667,http://www.berkley.com/,Titanium,Financial & Professional Services
1043,45925731,4070013,Omnicom Group Inc,NYSE:OMC,GP104730,https://www.omnicomgroup.com/,Titanium,Financial & Professional Services
1044,19401151,4880096,COFCO Group,,GP104931,http://www.cofco.com/,Titanium,EOG & Utilities
1045,372152007,4914538,X5 Retail Group,LSE:FIVE,,https://www.x5.ru/,Titanium,Retail & Multi-Site
1046,105758735,4009725,WEC Energy Group Inc,NYSE:WEC,GP105289,https://www.wecenergygroup.com/,Titanium,EOG & Utilities
1047,22856817,4286513,LKQ Corporation,NASDAQGS:LKQ,GP105292,https://www.lkqcorp.com/,Titanium,Industrial & Logistics
1048,3508234,103424,American Financial Group Inc,NYSE:AFG,GP105299,https://www.afginc.com/,Titanium,Financial & Professional Services
1049,15712356,4040505,General Dynamics Corporation,NYSE:GD,GP105399,https://www.gd.com/,Titanium,Tech/Media/Telecom
